home_team,home_score,away_team,away_score,tournament,start_time
Sutton United,0,Arsenal,0,fa,Monday 20th February 2017
Fulham,0,Tottenham Hotspur,0,fa,Sunday 19th February 2017
Blackburn Rovers,1,Manchester United,1,fa,Sunday 19th February 2017
Burnley,0,Lincoln City,0,fa,Saturday 18th February 2017
Huddersfield Town,0,Manchester City,0,fa,Saturday 18th February 2017
Hull City,2,Leicester City,2,premier-league,Saturday 13th August 2016
Burnley,0,Swansea City,0,premier-league,Saturday 13th August 2016
Crystal Palace,0,West Bromwich Albion,0,premier-league,Saturday 13th August 2016
Everton,1,Tottenham Hotspur,1,premier-league,Saturday 13th August 2016
Middlesbrough,1,Stoke City,1,premier-league,Saturday 13th August 2016
Southampton,1,Watford,1,premier-league,Saturday 13th August 2016
Manchester City,2,Sunderland,2,premier-league,Saturday 13th August 2016